SessionId,Start,Competition (Text),Season,Score,Home-Away (Text),Team Name,Formation Played (Text),Opposition Formation (Text),Opposition,Fouls Won - Opposition,Successful Dribbles - Team,Aerials Duels Won % - Team,Free Kicks - Goal Scored 2nd Phase,Shots Outside The Box - Opposition,Fouls Won - Team,Free Kicks - Attempt at Goal 1st Phase,Crossing Accuracy % - Team,Successful Dribbles - Opposition,Free Kicks - No Contact - Team Foul,Tackles - Opposition,Shots On Target - Opposition,Crosses - Team,Long Passes - Team,Free Kicks - Team,Free Kicks - Opposition Counter Attacks,Total Passes In Final Third - Opposition,Long Passes Proportion % - Team,Corners - No Contact - Team Foul,Passes - Opposition,Corners - Passed Short,Possession % - Opposition,Corners - Attempt at Goal 1st Phase,Free Kicks - Team first contact,Long Passes Proportion % - Opposition,Blocked Shots - Opposition,Passing Accuracy % - Team,Shots - Opposition,Shots - Team,Corners - No Contact - Direct Shot at Goal,Headed Shots - Team,Crosses - Opposition,Crossing Accuracy % - Opposition,Duels - Opposition,Penalties Scored,Interceptions - Team,Free Kicks - Opposition First Contact,Corners - Maintain Possession,Yellow Cards - Team,Aerials Duels Won % - Opposition,Passing Accuracy % - Opposition,Shots Outside The Box - Team,Passes In Opposition Half - Team,Free Kicks - Goal Scored 1st Phase,Clearances - Opposition,Passing Accuracy In Final Third % - Opposition,Free Kicks - Offside,Corners - Lose Possession,Recoveries - Team,Shots Inside The Box - Team,Passes In Opposition Half - Opposition,Corners - Attempt at Goal 2nd Phase,Corners - Offside,Corners - Win Set Play (Including Throw In),Goals - Team,Final Third Entries - Team,Tackle Success Rate % - Team,Offsides - Team,Key Passes - Opposition,Corners - Opposition Counter Attacks,Shooting Accuracy % - Opposition,Passing Accuracy In Final Third % - Team,Through Balls - Opposition,Interceptions - Opposition,Corners - Opposition,Headed Shots - Opposition,Shooting Accuracy % - Team,Aerial Duels - Opposition,Corners - No Contact - Ball Hit Out of Play,Red Cards - Opposition,Aerial Duels - Team,Free Kicks - Lose Possession,Duels Success Rate % - Opposition,Corners - Goal Scored 2nd Phase,Free Kicks - Passed Short,Tackles - Team,Penalty Area Entries - Team,Corners - Opposition First Contact,Through Balls - Team,Penalty Area Entries - Opposition,Goals - Opposition,Tackle Success Rate % - Opposition,Free Kicks - No Contact - Ball Hit Out of Play,Recoveries - Opposition,Free Kicks - Attempt at Goal 2nd Phase,Final Third Entries - Opposition,Free Kicks - Maintain Possession,Passes - Team,Free Kicks - No Contact - Direct Shot at Goal,Corners - Goal Scored 1st Phase,Red Cards - Team,Total Open Play Crosses - Team,Shot Accuracy Excluding Blocked Shots % - Opposition,Shot Accuracy Excluding Blocked Shots % - Team,Duels Success Rate % - Team,Yellow Cards - Opposition,Free Kicks - Win Set Play (Including Throw In),Long Passes - Opposition,Key Passes - Team,Offsides - Opposition,Total Passes In Final Third - Team,Corners - Team,Clearances - Team,Corners - Team first contact,Total Open Play Crosses - Opposition,Possession % - Team,Duels - Team,Blocked Shots - Team,Passing Accuracy In Opposition Half % - Team,Shots Inside The Box - Opposition,Shots On Target - Team,Passing Accuracy In Opposition Half % - Opposition
06E1C00A-0EE9-42AB-A346-798511F4887B,2019-08-30 00:00:00,English Premier League,2019/2020,1-2,Away,First Team,4-2-3-1,4-2-3-1,Reading,12,13,59.4,0,4,13,4,0.2,8,0,20,3,20,66,4,0,53,7.6,1,393,1,46.3,0,1,5.4,1,79.9,9,16,0,3,10,0.3,112,1,5,0,1,3,40.6,76.6,8,271,0,26,66,0,3,48,8,116,1,0,0,2,50,64.3,3,8,0,33.3,76.1,0,11,1,2,43.8,32,0,1,32,0,47.3,0,1,14,11,2,2,11,1,65,0,42,0,33,0,502,2,0,0,15,37.5,53.8,52.7,3,0,73,12,1,142,5,10,1,6,53.7,112,3,78.6,5,7,67.2
11DDCA19-A3F2-4F85-AFD5-9B47A8BF750B,2019-09-16 00:00:00,English Premier League 2,2019/2020,3-2,Home,First Team,4-4-2,4-4-1-1,Blackburn Rovers PL2,14,13,59.1,0,7,18,2,0.2,8,0,24,4,20,79,5,0,68,5.5,0,458,4,50.6,0,2,6.1,4,74,14,14,0,2,6,0.3,145,0,20,1,4,2,40.9,75.5,5,207,0,20,70.6,0,2,72,9,164,2,0,1,3,48,62.5,2,10,1,28.6,60,0,14,4,0,35.7,44,0,0,44,2,44.1,0,1,24,18,5,3,12,2,58.3,0,50,0,40,1,434,1,0,0,11,40,38.5,55.9,1,0,75,9,4,100,10,5,1,2,49.4,145,1,72.9,7,5,77.4
FC06DB8A-5747-4338-B759-3903B487FF79,2019-09-23 00:00:00,English Premier League,2019/2020,2-1,Home,First Team,4-1-4-1,3-4-2-1,Wolverhampton Wanderers,9,7,58.8,0,3,11,0,0.1,12,0,14,8,21,66,2,2,125,8.7,1,520,1,47.7,0,0,8.1,1,85.9,11,10,0,1,16,0.2,89,1,8,1,1,1,41.2,85,2,216,0,20,79.2,0,2,47,8,221,1,0,1,1,32,76.5,4,9,0,72.7,72.4,2,2,5,2,30,17,0,0,17,0,49.4,0,1,17,11,2,0,14,2,78.6,0,40,0,51,0,573,0,0,0,16,80,42.9,50.6,2,0,64,5,1,116,5,14,1,10,52.3,89,3,79.6,8,3,82.4
9C270FFD-461E-4D2D-AF61-1FD981AD3215,2019-09-30 00:00:00,English Premier League,2019/2020,0-1,Home,First Team,4-4-2,4-2-3-1,Swansea City,12,11,58.6,0,2,20,3,0.4,6,1,22,3,24,54,6,0,93,9.9,1,449,1,44.8,2,2,7.9,1,82.5,7,16,0,8,11,0.4,126,0,10,2,3,1,41.4,75.1,2,251,0,20,74.2,0,4,52,14,177,0,0,0,0,44,50,3,6,0,42.9,69.4,1,9,2,2,25,29,0,0,29,3,41.3,0,0,26,17,5,0,4,1,77.3,0,51,0,39,0,537,1,0,0,11,50,33.3,58.7,3,0,57,14,1,111,9,13,2,9,55.2,126,4,79.3,5,4,78.5
5D9A2160-E95D-4250-A62F-489FCD892024,2019-10-21 00:00:00,English Premier League,2019/2020,0-2,Home,First Team,4-1-4-1,4-2-3-1,Norwich City,13,21,76,0,0,15,1,0.3,7,0,10,0,18,67,2,0,25,10.1,0,260,1,29.7,2,0,3.4,0,87.2,0,22,0,4,6,0,102,1,6,0,1,1,24,60,5,376,0,17,56,0,1,64,17,96,0,0,1,2,75,70,4,0,0,0,81.6,0,11,1,0,31.8,25,0,1,25,1,36.3,0,1,10,14,2,4,1,0,60,1,44,0,27,0,680,0,0,0,13,0,43.8,63.7,1,0,77,19,1,179,5,8,2,3,70.3,102,6,87.2,0,7,71.9
94E09698-959B-4481-B522-E69C7B74268E,2019-10-28 00:00:00,English Premier League,2019/2020,2-2,Away,First Team,4-3-3,5-4-1,Aston Villa,11,14,46.2,0,3,17,0,0.2,10,0,25,2,24,71,1,0,94,7.3,1,496,0,48.1,0,0,7.3,3,81.8,9,18,0,2,13,0.2,127,0,9,1,0,1,53.8,81.7,5,244,1,15,76.6,0,2,67,13,185,0,0,1,2,45,70.8,0,6,1,22.2,76.3,0,14,4,0,27.8,26,0,0,26,0,47.2,0,0,24,19,3,0,12,2,64,0,54,0,50,0,521,0,0,0,19,33.3,33.3,52.8,3,0,68,15,4,131,4,9,0,9,51.9,127,3,80.3,6,5,77.3
61032EA1-3DCA-4F38-97B2-E3256D3A40EB,2019-11-04 00:00:00,English Premier League,2019/2020,3-2,Away,First Team,4-4-2,4-2-3-1,Sunderland,11,6,60,0,3,12,2,0.5,12,0,18,9,13,75,4,0,104,7.2,1,590,0,53.1,0,2,9.2,1,81.6,15,15,0,4,4,0.5,87,0,12,1,0,1,40,86.4,9,169,1,7,79.8,0,1,56,6,236,1,0,0,2,41,76.9,4,13,0,60,79.5,9,18,0,0,46.7,15,0,0,15,0,54,0,0,13,10,1,2,8,3,55.6,0,59,0,63,0,538,1,1,0,7,64.3,63.6,46,2,1,64,11,1,78,3,3,1,4,46.9,87,4,78.1,12,7,86.4
455905E9-1FE1-44E9-A74C-C79DF61F2542,2019-11-25 00:00:00,English Premier League,2019/2020,4-2,Home,First Team,4-2-3-1,4-2-3-1,Aston Villa,7,9,57.1,0,1,17,1,0.3,4,0,18,3,31,75,6,1,69,6.2,0,404,1,46.7,1,0,5.9,2,77,6,21,0,2,8,0.2,85,1,8,2,2,1,42.9,77.2,7,241,0,30,66.7,0,1,48,14,153,1,0,1,4,47,44.4,0,5,1,50,74,0,11,3,1,42.9,21,0,0,21,2,44.7,0,3,9,15,5,1,11,2,61.1,0,36,0,36,2,466,1,0,0,23,75,52.9,55.3,2,0,68,15,2,169,7,10,1,5,53.3,85,4,75.1,5,9,73.2
3FA83D0E-FB8F-4FC7-A688-1C8B937B1A53,2019-12-07 00:00:00,English Premier League,2019/2020,0-1,Home,First Team,4-2-3-1,3-4-2-1,West Bromwich Albion,7,9,43.8,0,4,12,2,0.3,4,0,12,4,15,87,2,0,112,5.9,0,544,1,52.3,2,0,7.7,1,75,13,8,0,1,13,0.2,70,0,10,0,1,1,56.2,78.7,2,169,0,16,68.8,0,0,55,6,222,0,0,0,0,35,80,3,13,2,30.8,67.5,0,12,5,2,25,16,0,0,16,0,45.7,0,0,10,16,2,1,17,1,83.3,0,57,0,48,0,511,2,0,0,11,33.3,66.7,54.3,1,0,71,5,0,83,5,16,2,9,47.7,70,5,71.6,9,2,76.1
823D8B6E-5C21-43D1-B8DF-A05B20599714,2019-12-16 00:00:00,English Premier League,2019/2020,4-0,Home,First Team,4-2-3-1,4-3-3,Middlesbrough,7,7,52.9,0,6,12,0,0.3,11,0,17,7,19,77,5,0,164,5.4,0,716,0,63.1,0,2,11.9,1,78.7,16,10,0,3,19,0.2,85,0,8,3,1,0,47.1,88.1,3,118,0,19,74.4,0,0,45,7,337,0,0,0,0,36,64.3,0,14,0,43.8,68.9,2,11,11,3,20,17,0,0,17,2,50.6,0,0,14,8,1,0,16,4,64.7,0,58,1,69,2,414,0,0,0,13,46.7,50,49.4,1,0,60,7,5,74,1,17,0,16,36.9,85,6,75.4,10,2,83.7
5BA1E87E-5308-46CB-B9C4-0BD00A6DB337,2020-01-03 00:00:00,English Premier League,2019/2020,3-0,Away,First Team,4-2-3-1,4-2-3-1,Fulham,10,9,47.8,0,2,13,0,0.5,14,0,20,1,17,59,1,0,122,8,0,522,0,49.4,3,0,9.7,2,83.4,7,15,0,3,11,0.3,107,0,20,1,1,1,52.2,77.6,4,213,0,13,69.7,0,0,63,11,242,0,0,0,3,45,58.8,5,6,0,14.3,79.4,1,5,4,2,53.3,23,0,0,23,1,53.3,0,0,17,16,0,1,10,0,60,0,49,0,55,0,470,0,0,0,12,20,88.9,46.7,1,0,54,12,1,131,4,12,4,5,50.6,107,6,83.1,5,8,75.2
EDA6901C-4A58-49C2-B52E-2AF5D125B844,2020-01-10 00:00:00,English Premier League,2019/2020,2-1,Away,First Team,5-3-2,4-2-3-1,Crystal Palace,8,9,30.4,0,4,18,0,0.3,16,0,17,6,23,62,6,1,113,8.3,0,570,1,53.4,2,0,9.8,4,77.5,16,15,0,2,15,0.4,118,0,16,4,2,2,69.6,82.5,4,251,0,36,76.1,0,3,62,11,255,1,0,0,2,43,76.9,0,12,0,37.5,69.7,0,14,8,3,40,23,1,0,23,2,48.3,0,2,26,13,5,1,8,1,82.4,0,73,1,46,2,516,0,0,0,11,50,54.5,51.7,2,0,58,11,2,119,8,12,1,8,46.6,118,4,76.1,12,6,79.2
BF215613-EDC8-4837-B0B3-D76819B3715E,2020-02-03 00:00:00,English Premier League,2019/2020,0-4,Away,First Team,4-2-2-2,4-1-4-1,West Bromwich Albion,8,12,58.8,0,2,16,3,0.2,8,0,29,2,13,57,3,0,105,7.9,0,470,0,49.4,0,1,8.4,2,77.7,6,19,0,1,18,0.1,110,0,21,0,0,0,41.2,75.7,5,143,0,16,69.5,0,2,70,14,186,0,0,1,4,37,65,2,6,1,33.3,67.9,1,14,3,1,47.4,17,1,0,17,0,47.3,0,1,20,13,2,0,10,0,69,0,65,0,45,0,449,1,0,0,8,50,60,52.7,2,0,56,11,3,84,4,12,1,14,50.6,110,4,73.4,4,9,73.7
8A09471B-29BF-4F64-9009-4D35BF99B949,2020-02-14 00:00:00,English Premier League,2019/2020,2-0,Away,First Team,4-2-3-1,4-4-1-1,Fulham,5,14,52.8,0,2,12,0,0.3,12,0,21,2,19,73,4,0,54,10.7,0,347,1,33.1,1,0,4.4,0,87.7,4,18,0,5,5,0,109,0,10,1,0,2,47.2,69.2,5,326,0,26,63,0,0,64,13,148,0,0,0,2,57,44.4,3,4,0,50,81.8,3,10,1,0,33.3,36,0,1,36,1,50.5,0,3,9,12,0,4,6,0,38.1,0,63,0,35,3,780,0,1,1,17,50,37.5,49.5,1,0,79,14,2,148,2,8,1,4,66.9,109,2,88,2,6,75
8D684859-256F-4D8F-89D9-345C406B6809,2020-02-28 00:00:00,English Premier League 2,2019/2020,0-2,Away,First Team,4-2-3-1,4-2-3-1,Blackburn Rovers PL2,6,6,58.3,0,4,13,0,0.1,10,0,12,3,23,58,4,0,66,9.8,0,505,0,47.5,1,0,6.2,0,81.4,6,9,0,1,7,0.4,80,0,9,2,0,0,41.7,83.4,2,256,0,23,78.8,0,1,64,7,173,0,0,0,2,53,76.2,1,5,0,50,69.4,0,12,1,0,33.3,12,0,1,12,1,41.2,1,2,21,12,2,2,7,0,66.7,0,60,1,43,2,569,0,0,0,18,50,37.5,58.8,1,0,81,7,3,111,3,10,1,6,52.5,80,1,77.7,2,3,83.8
CC0F6964-B505-47E2-8921-C1A254D9BB1E,2020-09-11 00:00:00,English Premier League,2020/2021,2-2,Home,First Team,4-2-3-1,4-2-3-1,Stoke City,10,9,53.8,0,2,20,2,0.5,8,0,25,5,22,68,7,0,104,8.5,0,427,1,44,1,1,5.2,3,80.1,12,14,0,1,15,0.3,123,0,5,2,1,1,46.2,76.1,6,217,0,28,71.2,0,1,66,8,189,1,1,0,2,67,84,1,7,0,41.7,70.8,0,11,2,0,28.6,26,0,0,26,1,44.7,1,3,25,14,3,0,14,2,68,0,54,0,39,3,577,1,0,0,14,55.6,44.4,55.3,3,1,82,10,1,106,6,20,2,13,56,123,5,74.7,10,4,73
